png_name	pred	gt	i	ii	iii	iv	v	vi	vii	viii	ix	x
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\i\abe0bb6c-ce5d-11eb-b317-38f9d35ea60f.png	iii	i	0.37	0.0	0.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\i\abfb5f30-ce5d-11eb-b317-38f9d35ea60f.png	iii	i	0.2	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\i\b17c40b4-ce5d-11eb-b317-38f9d35ea60f.png	ii	i	0.14	0.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\i\b18436ac-ce5d-11eb-b317-38f9d35ea60f.png	ii	i	0.48	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\ii\ab85e9a8-ce5d-11eb-b317-38f9d35ea60f.png	i	ii	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\ii\ab99c1bc-ce5d-11eb-b317-38f9d35ea60f.png	iii	ii	0.0	0.37	0.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\ii\b15b8338-ce5d-11eb-b317-38f9d35ea60f.png	v	ii	0.0	0.3	0.0	0.01	0.59	0.08	0.03	0.0	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\ii\b161b9f6-ce5d-11eb-b317-38f9d35ea60f.png	vi	ii	0.0	0.09	0.0	0.0	0.0	0.91	0.0	0.0	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\iii\b02a4ecc-ce5d-11eb-b317-38f9d35ea60f.png	ii	iii	0.0	0.9	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\iii\b03814bc-ce5d-11eb-b317-38f9d35ea60f.png	ii	iii	0.16	0.59	0.23	0.01	0.0	0.0	0.0	0.0	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\iii\b076f178-ce5d-11eb-b317-38f9d35ea60f.png	vii	iii	0.0	0.0	0.01	0.0	0.0	0.0	0.64	0.35	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\iii\b35a485e-ce5d-11eb-b317-38f9d35ea60f.png	ii	iii	0.0	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
